target,partner_name,days,lead_days,country_code,pickup_country_code,flight_type,pax
M,Scandinavian Airlines (SAS),3,39,NO,DK,International,1
M,Scandinavian Airlines (SAS),3,1,SE,SE,Domestic,2
C,Scandinavian Airlines (SAS),6,80,DK,FR,International,1
C,Lufthansa,9,1,DE,ES,International,1
I,Lufthansa,19,73,DE,US,International,2
E,Travelstart,2,1,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),2,27,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),5,123,SE,GB,International,3
medium car,Scandinavian Airlines (SAS),1,3,NO,NO,Domestic,1
C,Lufthansa,12,18,US,IT,International,2
C,Lufthansa,3,137,DE,GB,International,2
I,Scandinavian Airlines (SAS),1,3,SE,SE,Domestic,1
C,Lufthansa,3,15,DE,GB,International,1
E,Lufthansa,7,2,DE,GB,International,2
E,Scandinavian Airlines (SAS),16,1,DK,DK,Domestic,1
E,Lufthansa,3,210,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),5,8,NO,NO,Domestic,1
C,Travelstart,7,58,ZA,ZA,Domestic,1
F,Lufthansa,6,7,GB,DE,International,2
E,Lufthansa,10,104,NO,US,International,1
medium car,Lufthansa,9,2,DE,IT,International,2
M,Travelstart,2,2,ZA,ZA,Domestic,1
C,FreeNow,4,1,DE,ES,International,1
I,Scandinavian Airlines (SAS),10,216,NO,DK,International,1
S,Scandinavian Airlines (SAS),3,29,SE,SE,Domestic,2
E,TrenItalia,3,21,IT,IT,Domestic,1
F,Scandinavian Airlines (SAS),3,18,SE,US,International,1
E,Lufthansa,1,2,DE,DE,Domestic,2
E,Lufthansa,5,6,DE,IT,International,2
C,Scandinavian Airlines (SAS),5,29,SE,SE,Domestic,1
C,Lufthansa,8,40,DK,IT,International,2
S,Scandinavian Airlines (SAS),8,164,DK,IT,International,8
I,Scandinavian Airlines (SAS),5,148,NO,NO,Domestic,1
small car,Lufthansa,2,38,DE,DE,Domestic,2
S,Lufthansa,6,11,SE,DE,International,2
C,Lufthansa,5,9,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),4,7,SE,ES,International,1
S,Lufthansa,17,10,DE,US,International,4
S,Scandinavian Airlines (SAS),5,115,NO,NO,Domestic,1
C,Lufthansa,1,2,GB,DE,International,1
I,Lufthansa,2,5,GB,DE,International,1
E,Scandinavian Airlines (SAS),5,3,SE,GB,International,3
M,Lufthansa,1,7,IT,DE,International,1
C,Lufthansa,4,63,DE,DK,International,1
C,Lufthansa,2,5,DE,SE,International,1
E,Scandinavian Airlines (SAS),2,11,SE,NO,International,1
F,Scandinavian Airlines (SAS),9,20,SE,SE,Domestic,1
M,Travelstart,3,2,ZA,ZA,Domestic,1
E,Travelstart,8,21,ZA,ZA,Domestic,1
M,Lufthansa,2,45,DE,DE,Domestic,1
E,Lufthansa,8,54,DE,ES,International,1
C,Scandinavian Airlines (SAS),2,6,SE,SE,Domestic,1
medium car,Scandinavian Airlines (SAS),2,4,NO,NO,Domestic,1
F,Scandinavian Airlines (SAS),7,7,DK,DE,International,1
E,Lufthansa,7,18,DE,GB,International,1
C,Lufthansa,3,6,DE,GB,International,2
E,Scandinavian Airlines (SAS),3,4,SE,DE,International,1
I,Lufthansa,7,139,DE,ES,International,2
C,Scandinavian Airlines (SAS),1,1,NO,NO,Domestic,1
C,Lufthansa,5,25,IT,DE,International,1
C,Lufthansa,3,6,SE,IT,International,1
C,Lufthansa,1,81,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),1,1,SE,DK,International,1
E,Lufthansa,2,6,SE,DE,International,2
F,Scandinavian Airlines (SAS),4,19,SE,SE,Domestic,1
M,Scandinavian Airlines (SAS),1,27,SE,DE,International,1
S,Scandinavian Airlines (SAS),11,32,SE,SE,Domestic,1
C,Lufthansa,14,5,DE,ES,International,4
C,Scandinavian Airlines (SAS),1,7,SE,SE,Domestic,1
F,Scandinavian Airlines (SAS),5,5,NO,ES,International,1
I,Scandinavian Airlines (SAS),9,0,DK,US,International,2
C,Lufthansa,2,6,DE,DE,Domestic,1
S,Lufthansa,5,3,DE,US,International,1
M,TrenItalia,4,5,IT,IT,Domestic,1
C,Lufthansa,1,2,DE,IT,International,2
C,Scandinavian Airlines (SAS),11,26,NO,IT,International,1
E,Lufthansa,18,77,DE,US,International,1
